n,(3/2)^n,n^3,(lg n)^2,lg(n!),2^(2n),log(log n),lg n,n*2^n,ln n,e^n,n!
72,4770574165868.0664062500,373248,38.0679745234,344.7729375005,22300745198530623141535718272648361505980416.0000000000,1.4531737619,6.1699250014,340010386766614455386112.0000000000,4.2766661190,18586717452841278870244552605696.0000000000,2432902008176640000
73,7155861248802.1005859375,389017,38.3139280697,350.9627620594,89202980794122492566142873090593446023921664.0000000000,1.4563938230,6.1898245589,689465506498968201199616.0000000000,4.2904594411,50523936302761039454341181734912.0000000000,2432902008176640000
74,10733791873203.1503906250,405224,38.5573110999,357.1722154250,356811923176489970264571492362373784095686656.0000000000,1.4595599466,6.2094533656,1397820478929414983254016.0000000000,4.3040650932,137338297954017610774568497053696.0000000000,2432902008176640000
75,16100687809804.7265625000,421875,38.7981822791,363.4010341155,1427247692705959881058285969449495136382746624.0000000000,1.4626737779,6.2288186905,2833419889721787128217600.0000000000,4.3174881135,373324199679900148487366050316288.0000000000,2432902008176640000
76,24151031714707.0898437500,438976,39.0365982132,369.6489616289,5708990770823839524233143877797980545530986496.0000000000,1.4657368903,6.2479275134,5742397643169488579854336.0000000000,4.3307333403,1014800388113888746146344200044544.0000000000,2432902008176640000
77,36226547572060.6328125000,456533,39.2726135466,375.9157481696,22835963083295358096932575511191922182123945984.0000000000,1.4687507892,6.2667865407,11635911013790805806546944.0000000000,4.3438054219,2758513454523170321189676423053312.0000000000,2432902008176640000
78,54339821358090.9453125000,474552,39.5062810529,382.2011503885,91343852333181432387730302044767688728495783936.0000000000,1.4717169160,6.2854022189,23574053482485268906770432.0000000000,4.3567088267,7498416996990120907011471506931712.0000000000,2432902008176640000
79,81509732037136.4218750000,493039,39.7376517211,388.5049311367,365375409332725729550921208179070754913983135744.0000000000,1.4746366516,6.3037807482,47752569874777852400893952.0000000000,4.3694478525,20382810665126688239604997451415552.0000000000,2432902008176640000
80,122264598055704.6406250000,512000,39.9667748369,394.8268592316,1461501637330902918203684832716283019655932542976.0000000000,1.4775113194,6.3219280949,96714065569170333976494080.0000000000,4.3820266347,55406223843935098344518031635382272.0000000000,2432902008176640000
81,183396897083556.9687500000,531441,40.1936980591,401.1667092344,5846006549323611672814739330865132078623730171904.0000000000,1.4803421887,6.3398500029,195845982777569926302400512.0000000000,4.3944491547,150609731458503061892247354869809152.0000000000,2432902008176640000
82,275095345625335.4375000000,551368,40.4184674914,407.5242612391,23384026197294446691258957323460528314494920687616.0000000000,1.4831304777,6.3575520046,396527668833598369303625728.0000000000,4.4067192473,409399696212745451138432050426544128.0000000000,2432902008176640000
83,412643018438003.1250000000,571787,40.6411277512,413.8993006704,93536104789177786765035829293842113257979682750464.0000000000,1.4858773558,6.3750394313,802726744224113772004900864.0000000000,4.4188406078,1112863754791759440048804931959783424.0000000000,2432902008176640000
84,618964527657004.7500000000,592704,40.8617220336,420.2916180932,374144419156711147060143317175368453031918731001856.0000000000,1.4885839460,6.3923174228,1624796301562061610805100544.0000000000,4.4308167988,3025077322201142562234189425024172032.0000000000,2432902008176640000
85,928446791485507.1250000000,614125,41.0802921722,426.7010090293,1496577676626844588240573268701473812127674924007424.0000000000,1.4912513281,6.4093909361,3288278229351791355200798720.0000000000,4.4426512565,8223012714622913101995625382930284544.0000000000,2432902008176640000
86,1392670187228260.5000000000,636056,41.2968786975,433.1272737840,5986310706507378352962293074805895248510699696029696.0000000000,1.4938805398,6.4262647547,6653927711158918977582792704.0000000000,4.4543472963,22352466037347149741613836874748526592.0000000000,2432902008176640000
87,2089005280842391.0000000000,658503,41.5115208907,439.5702172799,23945242826029513411849172299223580994042798784118784.0000000000,1.4964725797,6.4429434958,13462597927228510489527975936.0000000000,4.4659081187,60760302250568719065170691650937159680.0000000000,2432902008176640000
88,3133507921263586.5000000000,681472,41.7242568359,446.0296488985,95780971304118053647396689196894323976171195136475136.0000000000,1.4990284086,6.4594316186,27234680864278366047780732928.0000000000,4.4773368145,165163625499400180986996598802797821952.0000000000,2432902008176640000
89,4700261881895380.0000000000,704969,41.9351234689,452.5053823295,383123885216472214589586756787577295904684780545900544.0000000000,1.5015489518,6.4757334310,55088331748199422233011027968.0000000000,4.4886363697,448961281917434554974692932659542228992.0000000000,2432902008176640000
90,7050392822843069.0000000000,729000,42.1441566243,458.9972354258,1532495540865888858358347027150309183618739122183602176.0000000000,1.5040351004,6.4918530963,111414603535684224740921180160.0000000000,4.4998096703,1220403294317840834182894301529193316352.0000000000,2432902008176640000
91,10575589234264604.0000000000,753571,42.3513910790,465.5050300660,6129982163463555433433388108601236734474956488734408704.0000000000,1.5064877133,6.5077946402,225305087149939210031640608768.0000000000,4.5108595065,3317400098335742831698770026249043574784.0000000000,2432902008176640000
92,15863383851396906.0000000000,778688,42.5568605945,472.0285920221,24519928653854221733733552434404946937899825954937634816.0000000000,1.5089076185,6.5235619561,455561934457019941162877714432.0000000000,4.5217885770,9017628405034298519450202280083092144128.0000000000,2432902008176640000
93,23795075777095360.0000000000,804357,42.7605979569,478.5677508332,98079714615416886934934209737619787751599303819750539264.0000000000,1.5112956145,6.5391588111,921027389228322924524948422656.0000000000,4.5325994932,24512455429200859664974848534887274643456.0000000000,2432902008176640000
94,35692613665643040.0000000000,830584,42.9626350145,485.1223396849,392318858461667547739736838950479151006397215279002157056.0000000000,1.5136524718,6.5545888517,1861861819085211933448282832896.0000000000,4.5432947823,66631762164108961850036830684054242197504.0000000000,2432902008176640000
95,53538920498464560.0000000000,857375,43.1630027143,491.6921952932,1569275433846670190958947355801916604025588861116008628224.0000000000,1.5159789343,6.5698556083,3763337719427556035693337640960.0000000000,4.5538768916,181123908288902334832971246827918212464640.0000000000,2432902008176640000
96,80308380747696832.0000000000,884736,43.3617311359,498.2771577939,6277101735386680763835789423207666416102355444464034512896.0000000000,1.5182757199,6.5849625007,7605903601369376408980219232256.0000000000,4.5643481915,492345828601205826105651076171577906167808.0000000000,2432902008176640000
97,120462571121545248.0000000000,912673,43.5588495245,504.8770706361,25108406941546723055343157692830665664409421777856138051584.0000000000,1.5205435226,6.5999128422,15370263527767281493147526365184.0000000000,4.5747109785,1338334719204269538704786735170027538874368.0000000000,2432902008176640000
98,180693856682317888.0000000000,941192,43.7543863218,511.4917804802,100433627766186892221372630771322662657637687111424552206336.0000000000,1.5227830127,6.6147098441,31057439705591620336669228531712.0000000000,4.5849674787,3637970947608804749879905722463248516644864.0000000000,2432902008176640000
99,271040785023476832.0000000000,970299,43.9483691962,518.1211371003,401734511064747568885490523085290650630550748445698208825344.0000000000,1.5249948382,6.6293566201,62748704711297355374086808666112.0000000000,4.5951198501,9889030319346946255261957393444250518028288.0000000000,2432902008176640000
100,406561177535215232.0000000000,1000000,44.1408250704,524.7649932901,1606938044258990275541962092341162602522202993782792835301376.0000000000,1.5271796258,6.6438561898,126765060022822940149670320537600.0000000000,4.6051701860,26881171418161356094253400435962903554686976.0000000000,2432902008176640000
